'id','ico','tx_type','wallet_from','wallet_to','unknown_address_from','block_num','tx_index_in_block','currency','txid','value','price_feed','tokens_to_receive','reject_cases','confirmed_date'
'86','SYNCO-1st Pre-sale','Deposit','0x9415671c8334E03B94b7115885233Cc7c773082a','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5795966','10','ETH','0x43e146ce363035d724455aef152ade7755c6b8764598e3c789800cea38d26261','10.000000000000000000','73135/2018-06-15 00:00:00','731350.000000000000000000','[]','June 15, 2018, 11:57 p.m.'
'85','SYNCO-1st Pre-sale','Deposit','0x9c9eB1056AD7624c16e169173ADaF8EB3C6b8058','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5792259','130','ETH','0x8368f3726f3dc75cc2eafe8ee62fffc1947fbc14d986ff5ff6f9fbc092637439','1.000000000000000000','73135/2018-06-15 00:00:00','73135.000000000000000000','[]','June 15, 2018, 8:40 a.m.'
'84','SYNCO-1st Pre-sale','Deposit','0x6f93CD95bBC6de62cff4826A7427Ced37bB76a41','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5790357','60','ETH','0xae168d0dc0d417fc84c21677b7a0cbc3faec8a13376b0d2cfa2d16a4da6dbd68','10.000000000000000000','73135/2018-06-15 00:00:00','731350.000000000000000000','[]','June 15, 2018, 12:42 a.m.'
'83','SYNCO-1st Pre-sale','Deposit','0x6242Bba7901BFb697EDdf698ED9F1F49fDf694cB','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5786260','18','ETH','0x86eeeff87ad24581a05f7112b985c68d4c6b02bafb5f43adac9ac1f302021d9f','1.000000000000000000','74180/2018-06-14 00:00:00','74180.000000000000000000','[]','June 14, 2018, 7:42 a.m.'
'82','SYNCO-1st Pre-sale','Deposit','0x5fC7c2B774E088fAD90dECFd1496500D8032312f','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5785964','4','ETH','0x652ec28ae8c33942b639e5c1a71f1354a4d69d08d2bfff84480f89b821827ab3','1.000000000000000000','74180/2018-06-14 00:00:00','74180.000000000000000000','[]','June 14, 2018, 6:29 a.m.'
'81','SYNCO-1st Pre-sale','Deposit','0x3f94c4dc3Eb76B8fC5652FAF632Dd4A919dC6A47','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5777990','16','ETH','0xa1a74f5e70d158e2784fdfd87d41ab79562aa1425ceaafd0e2451b375c5ed094','2.776818740000000000','79851/2018-06-12 00:00:00','221731.753207740000000000','[]','June 12, 2018, 9:12 p.m.'
'80','SYNCO-1st Pre-sale','Deposit','0x3f94c4dc3Eb76B8fC5652FAF632Dd4A919dC6A47','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5776525','57','ETH','0xbce5d90bb4fbb4916a0e239d56bb81c2d2a5108ebdb7c01e0dc82611054685d9','1.102160000000000000','79851/2018-06-12 00:00:00','88008.578160000000000000','[]','June 12, 2018, 3:07 p.m.'
'79','SYNCO-1st Pre-sale','Deposit','0x69a19E8f859cB7e3f5b4703315BBD63D7b1803C6','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5773604','10','ETH','0x663f1157e650c6a18c2e9b8f2a8772584d14f331a0d82f38abb068b9b5b3d14c','1.000000000000000000','79851/2018-06-12 00:00:00','79851.000000000000000000','[]','June 12, 2018, 2:43 a.m.'
'78','SYNCO-1st Pre-sale','Deposit','0xAa8c9650864E9A0c035d1a8414100E23f06A2D36','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5773051','119','ETH','0x2f3555fa0394a58244eb52da23c27185071373e68c6d01089b57b19adb510641','1.620000000000000000','79851/2018-06-12 00:00:00','129358.620000000000000000','[]','June 12, 2018, 12:24 a.m.'
'77','SYNCO-1st Pre-sale','Deposit','0x37aa7E8C39acAF9003Fa33adc2E01f5268b24969','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5771094','32','ETH','0x584264c29260596cdc52744e9c51cf999bc89bf676dd34c3e98ea945dd74ef30','2.642148450000000000','85971/2018-06-11 00:00:00','227148.144394950000000000','[]','June 11, 2018, 4:13 p.m.'
