id,ico,tx_type,address,wallet_to,block_num,tx_index_in_block,currency,txid,price_feed,amount
56,SYNCO-1st Pre-sale,Deposit,0xEcBD4c7f60f9825B8948EF9137E6a2E72a74C657,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5740990,37,ETH,0x6bfe673de32e6710737805069a3442047cf0ff15016cdad2fcc3a21234416fb8,87612/2018-06-06 00:00:00,87612000000000000000000
55,SYNCO-1st Pre-sale,Deposit,0x3ce2877275A8BcD66E7CFaC3C8E07633bfd5a8Fe,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5738113,146,ETH,0x90117e98ac8d703ac385c8b234d16e0549e1114ba0db57e61db4473e3d885860,92239/2018-06-05 00:00:00,276717000000000000000000
54,SYNCO-1st Pre-sale,Deposit,0x38BAB65C779959D9df70eA5250c1B8694CF1e23b,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5736546,91,ETH,0x1e616f8d3b2879cec7c073472baeb0516f114faf8abcc2c5ab196fedc5730b83,92239/2018-06-05 00:00:00,230597500000000000000000
52,SYNCO-1st Pre-sale,Deposit,0x78f27C1Dc120767E745f76865F5C4EA385Cb830a,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5735626,226,ETH,0xa5244cdadbf6c9b1a28e00f430bf818a83c9c31a014f2a081eb4924280ac02fc,92239/2018-06-05 00:00:00,184478000000000000000000
51,SYNCO-1st Pre-sale,Deposit,0xc83c7AAB0bDFF91D01eE8DC0754Bd387BC56532b,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5735002,15,ETH,0xa1975569d45346378b535ef09433ef674232cd4c08e32b6346e9c541a53d8448,92239/2018-06-05 00:00:00,92239000000000000000000
45,SYNCO-1st Pre-sale,Deposit,0x34bA0fDfbD7B5D1a31c959d7a8039D4BfBc119DA,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5734879,47,ETH,0xa2eed835759ab286b07f1dbaef69fe9815edde5498f0e4155409e7a223729118,92239/2018-06-05 00:00:00,184478000000000000000000
44,SYNCO-1st Pre-sale,Deposit,0xEe11f25297843DcDFdE7Ef02FCf197651200e538,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5734489,7,ETH,0xc3303f3cb0907b664108a04299d709687fe9e6045512a6c1f465b5ab50f9d368,92239/2018-06-05 00:00:00,461195000000000000000000
43,SYNCO-1st Pre-sale,Deposit,0x828524afE121F8eC842D0ce89AB9588e422F1E6A,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5733631,2,ETH,0xee493678712da8ae9268c50a16ed02932e18a58d441c18e5847242a5eaec8069,92239/2018-06-05 00:00:00,830151000000000000000000
42,SYNCO-1st Pre-sale,Deposit,0xCe2adAD1DA5b18EC52D45862a0B21F0Fc3788551,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5732019,16,ETH,0x6e74ddcbac2b0abfb4fc0aa748851fae8d70c806876f17aacc62754a4b9bc879,88956/2018-06-04 00:00:00,889560000000000000000000
41,SYNCO-1st Pre-sale,Deposit,0xEDBf5DAa4409918143af5712ee05eD0D338ABa65,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5731218,290,ETH,0x1696021f0490804a71d39cef18b1663cc74ff001e9c9f143d424827611e8568b,88956/2018-06-04 00:00:00,889560000000000000000000
